Site-code;H;N;Bertholletia excelsa;Dinizia excelsa;Dipteryx odorata;Eschweilera coriacea;Goupia glabra;Hevea brasiliensis;Jacaranda copaia;Laetia procera;Manilkara huberi;Tabebuia serratifolia;Trattinnickia burserifolia;Ht-min;Ht-average;Ht-max;sdHt;D-min;D-average;D-max;sdDBH;Wd-min;Wd-average;Wd-max;sdWD
ABU;2,145841753;11;0,181818182;0;0;0;0;0;0;0;0,090909091;0;0;26;37,45454545;46;5,871347995;77;95,70909091;143,5;20,71122664;0,33;0,548403824;0,921363636;0,191157244
AFL;1,560710409;6;0;0;0;0,166666667;0,5;0;0;0;0;0;0,166666667;27,74920822;29,91707126;34,36524355;2,474928775;71,7;83,61666667;109,3;14,07556985;0,443;0,614728023;0,771333333;0,121691248
AMD;2,083766037;15;0,133333333;0;0;0;0;0;0;0;0;0;0;27,51267387;32,67270302;39,41173724;4,458314066;70,5;100,5866667;143,2;27,36378907;0,383333333;0,602416272;0,852083333;0,148517903
ATP;0;2;0;0;0;0;0;0;0;0;0;0;0;33;36;39;4,242640687;150,1;151,45;152,8;1,909188309;0,624;0,624;0,624;0
BDF;3,509237002;77;0;0,012987013;0;0,012987013;0,038961039;0;0;0;0,012987013;0;0;27,49287343;30,6708993;44,25939719;3,290435259;70,4;88,29350649;180;20,26019131;0,383;0,715716244;1;0,146298299
BNT;2,997068727;25;0;0,08;0;0;0;0;0;0;0;0;0;27,51267387;30,65418411;36,41110878;2,689206638;70,5;87,868;122,5;15,54535622;0,34;0,689397866;0,939333333;0,1465496
CAJ;1,359236701;10;0,1;0;0;0;0;0;0;0;0;0;0;20;34,26625458;45;7,193784176;77,5;118,45;178,5;33,91224787;0,523083333;0,591069282;0,758;0,080899649
CAR;1,609437912;5;0;0;0;0,2;0;0;0;0;0;0;0;28,0032627;30,69192997;34,95044153;2,748391257;73;88;113;15,84297952;0,441614167;0,687175016;0,867939703;0,218852775
CAX;3,259564416;43;0,11627907;0;0,046511628;0;0,069767442;0;0;0;0;0;0;27,43338881;31,85235851;45,6354079;4,507742574;70,1;95,8627907;191,2;28,71776473;0,334882353;0,652385456;0,92275;0,156725206
CCA;1,609437912;5;0;0;0;0;0,2;0;0;0;0;0;0;28;32,4;35;3,209361307;75,6;89,78;110,2;12,79929686;0,5212;0,666164167;0,832333333;0,121128241
CNA;1,732867951;8;0,125;0;0;0;0,25;0;0;0;0;0;0;17;32,625;57;11,72223163;70,5;87,6;127,5;20,20396001;0,393915033;0,664463635;0,825142857;0,151548836
COT;2,302585093;10;0;0;0;0;0,1;0;0;0;0;0;0;28,0032627;31,57156244;42,47859093;4,400958742;73;94,02;166;28,08328091;0,334882353;0,601604393;0,7271875;0,134404761
CPP;2,775261629;25;0;0;0;0;0,16;0;0;0;0;0;0,04;27,43338881;30,87779912;43,75778248;3,589573229;70,1;89,608;176;22,54953658;0,383;0,654694508;0,8212;0,128741706
CRG;0,693147181;2;0,5;0;0;0;0;0;0;0;0;0;0;29,24135462;33,52914702;37,81693942;6,063854168;79,5;105,75;132;37,12310601;0,406666667;0,515333333;0,624;0,153677874
CTU;1,831020481;9;0;0;0;0;0;0;0;0;0;0;0;27,45323093;31,76236653;42,78898519;4,993042263;70,2;95,54444444;168,4;31,85098551;0,384977778;0,654654482;0,788;0,112305942
DOI;2,507026436;17;0,235294118;0;0;0;0;0,058823529;0;0;0;0;0;27,65089116;32,34218947;40,67628253;3,30339836;71,2;97,88823529;152,4;20,38703272;0,291666667;0,538879248;0,788;0,146632039
DUK;3,951104296;176;0;0,034090909;0,005681818;0;0,051136364;0;0;0;0;0;0,005681818;27,43338881;30,66409182;49,01264787;3,754530498;70,1;88,55056818;220,1;23,52526665;0,46;0,707502305;0,964;0,118501559
ETA;1,098612289;3;0;0;0;0;0;0;0;0;0;0;0;34,834;35,89833333;36,719;0,965834527;103,8;119,3333333;132;14,31688979;0,445311563;0,578423299;0,8105;0,201708198
FEA;4,26032572;2775;0,00036036;0,027747748;0,018018018;0,016936937;0,081801802;0,001801802;0,001081081;0,001801802;0,022702703;0,02018018;0;34,80199754;37,68449688;48,16510074;2,40546136;70,0280112;90,92878593;268,9712249;23,40249136;0,2;0,6867585;0,939333333;0,153813063
FEC;1,609437912;5;0,2;0;0;0;0;0;0;0;0;0;0;27,63118696;30,87283267;36,69646048;3,708929033;71,1;89,46;124,4;21,7826307;0,5675;0,691904533;0,7775;0,091039694
FRE;0,693147181;2;0;0;0;0;0;0;0;0;0;0;0;30;32,5;35;3,535533906;99;100,75;102,5;2,474873734;0,523083333;0,599458333;0,675833333;0,108010561
GAU;0,304636097;11;0;0;0;0;0;0;0;0;0;0;0;23,6;33,28311589;40;5,184343864;71,5;94,65454545;128,2;19,7845578;0,758;0,779393939;0,781533333;0,007095567
GMT;2,079441542;8;0;0;0;0;0;0;0;0;0,125;0;0;27,6114691;32,32003773;36,86068297;3,457640929;71;97,775;125,5;20,38877492;0,465857143;0,677374089;0,921363636;0,178834663
IPM;2,400563126;21;0;0;0;0;0;0;0;0;0;0;0;27,59173755;30,21787197;37,39323768;3,092092125;70,9;85,62857143;129,1;18,1826605;0,378571429;0,699715206;0,84;0,12416293
JBI;1,560710409;6;0;0;0;0;0;0;0;0;0;0;0;29;37,33333333;45;6,377042157;77,4;88,43333333;110,4;11,59839069;0,443;0,627796635;0,8524;0,167420205
JFR;2,729441666;31;0;0;0;0;0,129032258;0,032258065;0;0;0;0;0;27,63118696;31,31527155;39,03307011;3,195469191;71,1;91,87741935;140,5;18,91570264;0,280416667;0,623882674;0,81125;0,149988888
JRI;1,906154747;8;0;0;0;0;0;0;0;0;0;0;0;27,63118696;31,61472098;44,91565038;5,580036148;71,1;95,1375;185,3;37,34078343;0,465857143;0,732084077;0,870214286;0,162456861
LFA;0,693147181;2;0,5;0;0;0;0;0;0;0;0;0;0;29,24135462;35,04662756;40,85190051;8,209895734;79,5;116,6;153,7;52,46732316;0,495;0,5595;0,624;0,091216775
MIN;1,791759469;6;0;0;0;0;0;0;0;0;0;0;0;28,0032627;30,43273764;35,72644752;2,776253597;73;86,58333333;118;16,29262614;0,393915033;0,597510071;0,825263021;0,171861409
MRB;1,898478626;38;0,368421053;0;0;0;0;0;0;0,026315789;0,078947368;0;0;27,53246047;35,24228662;47,5921222;6,58003557;70,6;118,6;207,7;44,05209447;0,5038;0,619056168;0,921363636;0,111365621
MTH;1,945910149;7;0;0;0;0;0;0;0;0;0;0;0;27,47305913;31,16766202;43,92141778;5,786144388;70,3;92,7;177,3;38,02065228;0,265;0,546936256;0,825263021;0,217392838
MUF.U;0,369333122;33;0,121212121;0;0;0;0;0;0;0;0;0;0;27,80803633;33,06330295;44,13451285;4,372780114;72;102,930303;179;27,66529284;0,393016667;0,436435166;0,62772391;0,090473959
ODE;1,927392126;16;0,25;0;0;0;0;0;0;0;0;0;0;30,30460507;35,11915832;40,73039719;4,027585971;85,3;115,425;152,8;26,15738264;0,389933333;0,620740949;0,788;0,133877077
PAC;2,125764807;50;0,02;0;0;0;0;0,02;0;0;0;0;0,02;27,6114691;32,05935962;57,83199291;4,73010859;71;97,252;305;34,59826137;0,267;0,631668277;0,87775;0,114199648
PEC;2,848237447;39;0;0;0;0;0;0;0;0;0;0;0;26,66;34,75051282;45;4,36214635;70,4;93,76923077;154,6;20,12046816;0,13;0,464951647;0,889202381;0,173772681
PGR;1,098612289;3;0;0;0;0;0;0;0;0;0;0;0;28,2936477;31,00446335;34,39712315;3,108341474;74,5;89,8;109,5;17,91005304;0,568855512;0,681795994;0,781533333;0,106951887
POR;2,685945325;16;0;0;0;0;0;0,0625;0;0;0;0;0;28,4856395;31,35452492;37,81693942;2,466494342;75,5;91,73125;132;14,659728;0,383;0,585611254;0,936666667;0,179532015
PPB;2,153532457;15;0;0;0,066666667;0;0,133333333;0;0;0;0;0;0;27,84718799;32,60970635;38,25045163;3,646957641;72,2;99,66666667;135;21,95142907;0,441614167;0,62257382;0,92275;0,135768129
PTB;2,833213344;17;0;0,058823529;0;0;0,058823529;0;0;0,058823529;0;0;0;27,80803633;30,62909007;42,15290273;3,483203642;72;88,12352941;163,5;21,92719571;0,465857143;0,669802466;0,939333333;0,140013373
RAT;2,163955657;10;0,2;0;0;0;0;0;0;0;0;0;0;24;31,1;38;4,357624225;70,1;113,6;183,3;36,34840666;0,624;0,728192262;0,895;0,086003349
RBR;1,201559155;19;0,157894737;0;0;0;0,052631579;0;0;0;0;0;0;27,45323093;34,34927636;81,72995654;12,15052121;70,2;121,4947368;603,2;119,5088908;0,407291293;0,528084901;0,884;0,143617832
RFH;1,925121191;13;0,153846154;0;0;0;0;0;0;0;0;0;0;28,3129038;34,73168616;48,33036262;5,529853493;74,6;114,1076923;214,1;38,07821909;0,218333333;0,60857747;0,84;0,175798284
RIA;2,260233853;19;0;0;0,157894737;0;0;0;0;0;0;0;0;27,90581539;31,87274404;41,67956914;4,297458064;72,5;95,77368421;159,9;26,69296291;0,380854167;0,69137025;0,92275;0,168860917
RND;1,011404265;6;0,333333333;0;0;0;0;0;0;0;0;0;0;31,86910726;34,925931;40,85190051;4,592537705;94,2;114,4;153,7;30,45357122;0,42284375;0,491765625;0,624;0,102438546
RST;1,791759469;6;0;0;0;0;0;0;0;0;0;0;0;27,80803633;29,86472067;35,34051406;2,78346607;72;83,45;115,5;16,18218156;0,365833333;0,578174188;0,683333333;0,12690722
SAA;0;2;0;0;0;0;0;0;0;0;0;0;0;26;26,5;27;0,707106781;78,2;92,1;106;19,65756852;0,5205;0,5205;0,5205;0
SAG;0,950270539;5;0;0,6;0;0;0;0;0;0;0;0;0;66,70793588;78,46032559;88;9,41149046;95,49274255;216,7052717;334,2253805;105,0487579;0,740522667;0,891704533;0,939333333;0,086212353
SIP;1,33217904;5;0;0;0;0;0;0,2;0;0;0;0;0;27;28,02;31;1,697645428;70,7;78,52;101;12,9076334;0,492166667;0,622473333;0,720333333;0,106950005
SNP;1,039720771;4;0;0;0;0;0;0;0;0;0;0;0;35,26283497;36,21548875;37,09829097;1,020966461;115;121,275;127,1;6,736158648;0,39475;0,610496362;0,798046296;0,217784288
STL;1,098612289;3;0;0;0;0;0;0;0;0;0;0;0,333333333;7;30,66666667;45;20,64784089;71,2;82,86666667;103,7;18,08544535;0,46;0,624714286;0,786714286;0,163374054
STO.P;1,747868097;7;0;0;0;0;0;0;0;0;0;0;0;28,4856395;38,59405461;50;8,473270766;74,6;95,91428571;128,7;20,22881019;0,443;0,737991386;0,94;0,176340676
TAP;2,552085298;19;0;0;0;0;0;0;0;0;0,157894737;0;0;28,50476958;32,78634862;39,22985934;3,548947466;75,6;100,6789474;141,9;21,73915001;0,451142857;0,728009793;0,921363636;0,153158206
TEC;3,518013013;69;0;0,086956522;0;0;0,057971014;0;0;0,014492754;0;0;0,028985507;27,51267387;31,30174421;47,95108645;4,015315139;70,5;92,33188406;210,8;25,42673728;0,383;0,71861401;1,1125;0,151663797
TEM;2,302585093;10;0;0,1;0;0;0;0;0;0;0;0;0;27,69025869;30,92822945;42,20517693;4,565354074;71,4;90,46;163,9;28,77121246;0,5205;0,750637921;0,939333333;0,15039625
TGS;1,277034259;7;0;0;0;0;0;0;0;0;0;0;0;22;26,14285714;33;3,484660262;82,2;134,7714286;340;91,70988159;0,380643137;0,540140462;0,75;0,142276253
UAT;2,205598359;14;0;0;0;0;0;0;0;0;0;0;0;28,94136953;33,14058241;46,68890557;4,665343787;77,9;103,5428571;200;31,91620554;0,39625;0,73357026;0,9295;0,148257316
VAV;0;1;0;0;0;0;0;0;0;0;0;0;0;36;36;36;#DIV/0!;102,5;102,5;102,5;#DIV/0!;0,3785;0,3785;0,3785;#DIV/0!
VCR;0;2;0;0;0;0;0;0;0;0;0;0;0;32,98271954;32,99135977;33;0,012219131;100,8;101,05;101,3;0,353553391;0,781533333;0,781533333;0,781533333;0
VIR;1,33217904;5;0;0;0;0;0;0;0;0;0;0;0;28,38980129;31,76244788;34,91905285;2,653813195;75;94,08;112,8;15,43168818;0,451142857;0,594573105;0,740522667;0,114119732
VRM;2,62191501;34;0;0;0;0;0;0;0;0;0;0;0;28,0032627;34,32131562;55,77689601;5,899000018;73;112,0117647;284;42,42410525;0,365833333;0,570547883;0,92;0,179891613
VSA;1,054920168;5;0;0;0;0;0;0;0;0;0;0;0;27,94483394;34,1975021;41,86426117;5,657033428;72,7;110,52;161,3;35,87111651;0,48;0,541622308;0,777111538;0,131671202
JAC;2,809678234;24;0;0,083333333;0;0;0,083333333;0;0;0;0,041666667;0;0;27,6114691;29,8878359;34,26943188;1,982082619;71;83,3375;108,7;11,08876488;0,454904545;0,73211283;0,939333333;0,133613931
JAM;1,039720771;4;0;0;0;0;0;0;0;0;0;0;0;28,65736343;30,2764741;34,98180283;3,137090415;76,4;85,8;113,2;18,26763988;0,579328228;0,599576837;0,652250893;0,035321588
ALF;2,210253578;12;0,25;0;0;0;0;0;0;0;0;0;0;3;24,18333333;40;15,40937338;73,6;90,26666667;118,7;12,93742516;0,383333333;0,614455546;0,908666667;0,143902963
