Latitude,Longitude,Site,BiogeographicID,Biogeographic,Estado,Agrupamento
"-9.625","-65.46",ABU,8,Southern Amazon,,
"-9.62","-55.89",AFL,8,Southern Amazon,,
"-9.363333333","-56.52666667",ALF,5,Eastern Amazon,,
"-1.83","-46.75",AMD,5,Eastern Amazon,,
"-9.235","-56.98",ATP,8,Southern Amazon,,
"-2.392222222","-59.90444444",BDF,5,Eastern Amazon,,
"-2.6325","-60.1625",BNT,19,Central Amazon,,
"-6.06","-50.12333333",CAJ,5,Eastern Amazon,,
"-5.77",-51,CAR,5,Eastern Amazon,,
"-1.7625","-51.4625",CAX,5,Eastern Amazon,,
"-9.44","-64.845",CCA,8,Southern Amazon,,
"-8.105","-63.47",CNA,4,Western Amazon,,
"-9.815","-58.245",COT,8,Southern Amazon,,
"-1.84","-47.1",CPP,5,Eastern Amazon,,
"-5.9","-50.13",CRG,5,Eastern Amazon,,
"-9.81","-58.26",CTU,8,Southern Amazon,,
"-10.56","-68.315",DOI,4,Western Amazon,,
"-2.955833333","-59.93194444",DUK,19,Central Amazon,,
"3.385","-61.4625",ETA,7,Guyana,,
"1.962666667","-51.69366667",FEA,5,Eastern Amazon,,
"-10.07","-67.62",FEC,4,Western Amazon,,
"-1.53","-46.63",FRE,5,Eastern Amazon,,
"-13.205","-52.9",GAU,8,Southern Amazon,,
"-1.11","-47.8",GMT,5,Eastern Amazon,,
"-5.262","-61.796",IPM,19,Central Amazon,,
"-2.615","-60.205",JAC,5,Eastern Amazon,,
"-4.67","-66.17",JAM,4,Western Amazon,,
"-5.78","-48.92",JBI,5,Eastern Amazon,,
"-10.492","-58.5",JFR,8,Southern Amazon,,
"-0.89","-52.19",JRI,5,Eastern Amazon,,
"-5.85","-50.48",LFA,5,Eastern Amazon,,
"-8.57","-72.9",MIN,4,Western Amazon,,
"-5.716666667","-49.02666667",MRB,5,Eastern Amazon,,
"-8.88","-72.79",MTH,4,Western Amazon,,
"-9.595","-65.055",MTM,8,Southern Amazon,,
"-3.742222222","-60.24888889",MUF.U,19,Central Amazon,,
"-3.48","-51.67",ODE,5,Eastern Amazon,,
"-9.47","-55.83142857",PAC,8,Southern Amazon,,
"-9.396","-69.916",PEC,4,Western Amazon,,
"-3.74","-48.51",PGR,5,Eastern Amazon,,
"-10.81","-68.77",POR,4,Western Amazon,,
"-1.18","-47.32",PPB,5,Eastern Amazon,,
"-1.325","-56.4",PTB,5,Eastern Amazon,,
"-2.94","-55.62",RAT,19,Central Amazon,,
"-6.66","-62.8275",RBR,19,Central Amazon,,
"-9.755","-67.66",RFH,4,Western Amazon,,
"-2.9","-46.15",RIA,5,Eastern Amazon,,
-11,"-61.95",RND,8,Southern Amazon,,
"-9.04","-72.27",RST,4,Western Amazon,,
"-9.64","-50.45",SAA,8,Southern Amazon,,
"-11.41","-55.32",SIP,8,Southern Amazon,,
"-6.04","-50.15",SNP,5,Eastern Amazon,,
"-3.04","-55.02",STL,5,Eastern Amazon,,
"-3.36","-54.93",STO.P,5,Eastern Amazon,,
"-3.31","-54.94285714",TAP,5,Eastern Amazon,,
"-1.742","-51.514",TEC,5,Eastern Amazon,,
"-2.95","-59.925",TEM,5,Eastern Amazon,,
"-14.46","-57.51",TGS,8,Southern Amazon,,
"-1.708","-59.744",UAT,19,Central Amazon,,
"-1.18","-46.68",VAV,5,Eastern Amazon,,
"-14.83","-52.16",VCR,8,Southern Amazon,,
"1.47","-61.01333333",VIR,19,Central Amazon,,
"-6.181875","-61.6675",VRM,19,Central Amazon,,
"-2.845","-56.82",VSA,19,Central Amazon,,
"0.77", "-53.23",SAG,5,Eastern Amazon,,